1101,台泥
1102,亞泥
1216,統一
1301,台塑
1303,南亞
1326,台化
1402,遠東新
1476,儒鴻
1722,台肥
2002,中鋼
2105,正新
2201,裕隆
2207,和泰車
2227,裕日車
2301,光寶科
2303,聯電
2308,台達電
2311,日月光
2317,鴻海
2324,仁寶
2325,矽品
2327,國巨
2330,台積電
2347,聯強
2353,宏碁
2354,鴻準
2357,華碩
2382,廣達
2395,研華
2408,南亞科
2409,友達
2412,中華電
2448,晶電
2454,聯發科
2474,可成
2492,華新科
2498,宏達電
2618,長榮航
2633,台灣高鐵
2801,彰銀
2823,中壽
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2888,新光金
2890,永豐金
2891,中信金
2892,第一金
2912,統一超
3008,大立光
3045,台灣大
3231,緯創
3474,華亞科
3481,群創
3673,TPK-KY
3697,F-晨星
3711,日月光投控
4904,遠傳
4938,和碩
5854,合庫
5871,中租-KY
5876,上海商銀
5880,合庫金
6505,台塑化
9904,寶成
9910,豐泰
